25.0382,37.1759
27.1301,34.8180
26.5532,36.7839
26.0435,36.4948
25.0232,37.3247
25.9552,36.6027
25.5943,37.1508
23.5315,37.2325
26.5170,34.0621
24.7860,33.8177
23.9023,36.7749
27.4839,34.5564
24.5513,37.7694
21.7173,27.6070
25.3125,38.1478
28.0115,30.5945
33.5047,27.6203
-5.1564,53.2020
26.3158,29.9398
27.3476,20.3492
7.3289,42.0895
17.2789,4.0773
30.4038,28.8579
12.7642,-2.8968
32.1978,26.7481
32.5677,24.4637
25.6385,36.2510
20.2846,35.3971
30.0545,32.1824
21.5489,35.2216
32.8588,26.3481
27.3905,16.1988
11.6936,12.2544
-11.5418,24.1867
5.9612,31.3907
8.2668,22.0415
27.6012,24.5412
0.4620,2.7038
29.2877,26.5663
18.9072,18.2318
1.8044,7.0144
23.7795,26.6065
20.4402,25.6336
15.6678,37.8199
-22.6611,35.6598
-0.8430,5.8684
10.9897,-0.0458
-2.1075,13.1983
11.7281,4.5953
-0.5518,9.0051
19.0431,13.5255
6.5689,3.6777
4.2838,2.9198
0.2459,0.0032
20.5393,8.3805
-8.9877,26.7782
26.0413,20.3194
0.4700,5.9835
-3.8320,2.5807
0.4278,-1.0321
0.5080,2.6651
-0.2191,1.9851
0.0000,0.0000
0.0099,-0.0037
