79.5164,0.6783,0.9418,0.7261,0.7560,0.6983,0.9081,0.6296,0.8650,0.9045,0.8343,
79.4243,0.6520,0.6890,0.7430,0.7090,0.7020,0.8700,0.7560,0.9910,0.9590,0.8970,
78.2987,0.6742,0.9477,0.7337,0.7482,0.7271,0.8833,0.5727,0.8692,0.8916,0.8030,
78.5147,0.6490,0.6050,0.7440,0.7210,0.7040,0.8700,0.7540,0.9910,0.9580,0.8970,
79.2310,0.6947,0.9470,0.7472,0.7647,0.6497,0.9093,0.6159,0.9063,0.8706,0.8163,
79.2125,0.6490,0.6050,0.7440,0.7210,0.7040,0.8700,0.7540,0.9910,0.9580,0.8970,
76.0387,0.6844,0.9373,0.6868,0.7039,0.6684,0.8939,0.5976,0.8686,0.8717,0.8050,
77.2120,0.6490,0.6050,0.7440,0.7210,0.7040,0.8700,0.7540,0.9910,0.9580,0.8970,
75.5916,0.6277,0.9208,0.6883,0.7062,0.7077,0.8205,0.5710,0.7831,0.8296,0.8561,
75.1835,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
74.8743,0.6548,0.8795,0.6762,0.6945,0.6557,0.8694,0.5891,0.8578,0.8596,0.8295,
75.7251,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
72.1091,0.6223,0.9141,0.6548,0.6725,0.6757,0.8313,0.5429,0.7941,0.8206,0.7853,
73.2496,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
72.7362,0.6717,0.9165,0.6566,0.6948,0.6639,0.8067,0.5486,0.7455,0.8325,0.7479,
72.9663,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
70.0543,0.5778,0.8756,0.6597,0.6613,0.6483,0.7779,0.5561,0.7711,0.8258,0.7788,
71.4724,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
70.4138,0.6015,0.8851,0.6693,0.6012,0.5747,0.8339,0.5399,0.7468,0.7807,0.7728,
70.2327,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
69.2884,0.5945,0.8319,0.6268,0.6002,0.5886,0.7108,0.5449,0.7470,0.8229,0.7444,
68.3312,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
68.0657,0.5983,0.8805,0.6353,0.5875,0.5471,0.7276,0.5485,0.7346,0.8422,0.7159,
68.3859,0.6540,0.6050,0.7520,0.7250,0.7050,0.8700,0.7350,0.9910,0.9590,0.8970,
66.5343,0.5739,0.8044,0.6501,0.7116,0.5449,0.7480,0.5486,0.7149,0.7915,0.7101,
68.1880,0.6720,0.6050,0.7530,0.7290,0.6930,0.8700,0.7120,0.9920,0.9490,0.8910,
68.5023,0.5657,0.8286,0.6954,0.5411,0.4896,0.8015,0.5316,0.7414,0.7917,0.7126,
67.2269,0.6680,0.6080,0.7690,0.7270,0.7030,0.8700,0.7220,0.9920,0.9440,0.8910,
62.3523,0.4516,0.7914,0.6310,0.6091,0.5753,0.7225,0.4980,0.6704,0.7746,0.7187,
64.6939,0.6940,0.4320,0.8050,0.8250,0.7060,0.8690,0.6480,0.9910,0.9420,0.8910,
64.0480,0.4608,0.8235,0.6603,0.5254,0.5728,0.7744,0.4460,0.7791,0.7571,0.7070,
65.2775,0.7110,0.4500,0.8900,0.8060,0.4200,0.8690,0.6170,0.9910,0.9460,0.8920,
